JDAY,Intercept,Air Temp (A),Water Temp (B),LogFlow (C),,,,,Table 2 - Coefficients used for Final Regression without Solar,,,,
74,4.749980395,0.032083109,0.839035078,-1.494723273,,,,,,,,,
75,4.810128095,0.030963099,0.840233521,-1.518610193,,,,,,,,,
76,4.892814957,0.030708262,0.83701957,-1.534677827,,,,,,,,,
77,4.998040981,0.031318596,0.829393226,-1.542926176,,,,,,,,,
78,5.103267005,0.03192893,0.821766881,-1.551174526,,,,,,,,,
79,5.208493029,0.032539265,0.814140537,-1.559422875,,,,,,,,,
80,5.313719054,0.033149599,0.806514193,-1.567671224,,,,,,,,,
81,5.418945078,0.033759934,0.798887848,-1.575919574,,,,,,,,,
82,5.524171102,0.034370268,0.791261504,-1.584167923,,,,,,,,,
83,5.629397126,0.034980603,0.783635159,-1.592416272,,,,,,,,,
84,5.734623151,0.035590937,0.776008815,-1.600664622,,,,,,,,,
85,5.839849175,0.036201272,0.768382471,-1.608912971,,,,,,,,,
86,5.945075199,0.036811606,0.760756126,-1.617161321,,,,,,,,,
87,6.050301223,0.03742194,0.753129782,-1.62540967,,,,,,,,,
88,6.155527247,0.038032275,0.745503438,-1.633658019,,,,,,,,,
89,6.260753272,0.038642609,0.737877093,-1.641906369,,,,,,,,,
90,6.365979296,0.039252944,0.730250749,-1.650154718,,,,,,,,,
91,6.47120532,0.039863278,0.722624405,-1.658403067,,,,,,,,,
92,6.576431344,0.040473613,0.71499806,-1.666651417,,,,,,,,,
93,6.681657369,0.041083947,0.707371716,-1.674899766,,,,,,,,,
94,6.786883393,0.041694282,0.699745372,-1.683148115,,,,,,,,,
95,6.892109417,0.042304616,0.692119027,-1.691396465,,,,,,,,,
96,6.997335441,0.042914951,0.684492683,-1.699644814,,,,,,,,,
97,7.102561465,0.043525285,0.676866339,-1.707893164,,,,,,,,,
98,7.20778749,0.044135619,0.669239994,-1.716141513,,,,,,,,,
99,7.313013514,0.044745954,0.66161365,-1.724389862,,,,,,,,,
100,7.418239538,0.045356288,0.653987306,-1.732638212,,,,,,,,,
101,7.523465562,0.045966623,0.646360961,-1.740886561,,,,,,,,,
102,7.628691587,0.046576957,0.638734617,-1.74913491,,,,,,,,,
103,7.733917611,0.047187292,0.631108273,-1.75738326,,,,,,,,,
104,7.839143635,0.047797626,0.623481928,-1.765631609,,,,,,,,,
105,7.944369659,0.048407961,0.615855584,-1.773879958,,,,,,,,,
106,8.049595683,0.049018295,0.60822924,-1.782128308,,,,,,,,,
107,8.031602353,0.048579644,0.615784969,-1.805345653,,,,,,,,,
108,8.013609022,0.048140993,0.623340699,-1.828562999,,,,,,,,,
109,7.995615691,0.047702343,0.630896428,-1.851780344,,,,,,,,,
110,7.97762236,0.047263692,0.638452158,-1.87499769,,,,,,,,,
111,7.959629029,0.046825041,0.646007887,-1.898215035,,,,,,,,,
112,7.941635699,0.04638639,0.653563617,-1.921432381,,,,,,,,,
113,7.923642368,0.045947739,0.661119346,-1.944649726,,,,,,,,,
114,7.905649037,0.045509089,0.668675076,-1.967867072,,,,,,,,,
115,7.887655706,0.045070438,0.676230805,-1.991084417,,,,,,,,,
116,7.869662376,0.044631787,0.683786535,-2.014301763,,,,,,,,,
117,7.851669045,0.044193136,0.691342264,-2.037519108,,,,,,,,,
118,7.833675714,0.043754485,0.698897994,-2.060736453,,,,,,,,,
119,7.815682383,0.043315834,0.706453723,-2.083953799,,,,,,,,,
120,7.797689052,0.042877184,0.714009453,-2.107171144,,,,,,,,,
121,7.779695722,0.042438533,0.721565182,-2.13038849,,,,,,,,,
122,7.761702391,0.041999882,0.729120912,-2.153605835,,,,,,,,,
123,7.74370906,0.041561231,0.736676641,-2.176823181,,,,,,,,,
124,7.725715729,0.04112258,0.744232371,-2.200040526,,,,,,,,,
125,7.707722399,0.04068393,0.7517881,-2.223257872,,,,,,,,,
126,7.689729068,0.040245279,0.75934383,-2.246475217,,,,,,,,,
127,7.671735737,0.039806628,0.766899559,-2.269692563,,,,,,,,,
128,7.653742406,0.039367977,0.774455289,-2.292909908,,,,,,,,,
129,7.635749075,0.038929326,0.782011018,-2.316127254,,,,,,,,,
130,7.617755745,0.038490676,0.789566748,-2.339344599,,,,,,,,,
131,7.599762414,0.038052025,0.797122478,-2.362561945,,,,,,,,,
132,7.581769083,0.037613374,0.804678207,-2.38577929,,,,,,,,,
133,7.563775752,0.037174723,0.812233937,-2.408996635,,,,,,,,,
134,7.545782422,0.036736072,0.819789666,-2.432213981,,,,,,,,,
135,7.527789091,0.036297422,0.827345396,-2.455431326,,,,,,,,,
136,7.50979576,0.035858771,0.834901125,-2.478648672,,,,,,,,,
137,7.529524653,0.035476433,0.837992817,-2.497186511,,,,,,,,,
138,7.586975769,0.035150408,0.836620473,-2.511044844,,,,,,,,,
139,7.644426885,0.034824383,0.835248128,-2.524903177,,,,,,,,,
140,7.701878001,0.034498358,0.833875783,-2.53876151,,,,,,,,,
141,7.759329117,0.034172333,0.832503438,-2.552619843,,,,,,,,,
142,7.816780233,0.033846309,0.831131094,-2.566478176,,,,,,,,,
143,7.874231349,0.033520284,0.829758749,-2.580336509,,,,,,,,,
144,7.931682465,0.033194259,0.828386404,-2.594194842,,,,,,,,,
145,7.989133581,0.032868234,0.827014059,-2.608053175,,,,,,,,,
146,8.046584697,0.032542209,0.825641715,-2.621911508,,,,,,,,,
147,8.104035813,0.032216184,0.82426937,-2.635769841,,,,,,,,,
148,8.161486929,0.031890159,0.822897025,-2.649628174,,,,,,,,,
149,8.218938045,0.031564134,0.82152468,-2.663486507,,,,,,,,,
150,8.276389161,0.03123811,0.820152336,-2.67734484,,,,,,,,,
151,8.333840277,0.030912085,0.818779991,-2.691203173,,,,,,,,,
152,8.391291393,0.03058606,0.817407646,-2.705061506,,,,,,,,,
153,8.448742509,0.030260035,0.816035301,-2.718919839,,,,,,,,,
154,8.506193625,0.02993401,0.814662956,-2.732778172,,,,,,,,,
155,8.563644741,0.029607985,0.813290612,-2.746636505,,,,,,,,,
156,8.621095857,0.02928196,0.811918267,-2.760494838,,,,,,,,,
157,8.678546973,0.028955935,0.810545922,-2.774353171,,,,,,,,,
158,8.735998089,0.028629911,0.809173577,-2.788211504,,,,,,,,,
159,8.793449205,0.028303886,0.807801233,-2.802069837,,,,,,,,,
160,8.850900321,0.027977861,0.806428888,-2.81592817,,,,,,,,,
161,8.908351437,0.027651836,0.805056543,-2.829786503,,,,,,,,,
162,8.965802553,0.027325811,0.803684198,-2.843644836,,,,,,,,,
163,9.023253669,0.026999786,0.802311854,-2.857503169,,,,,,,,,
164,9.080704785,0.026673761,0.800939509,-2.871361502,,,,,,,,,
165,9.138155901,0.026347736,0.799567164,-2.885219835,,,,,,,,,
166,9.195607017,0.026021712,0.798194819,-2.899078168,,,,,,,,,
167,9.253058133,0.025695687,0.796822475,-2.912936501,,,,,,,,,
168,9.181677716,0.024340605,0.799729095,-2.880474803,,,,,,,,,
169,9.1102973,0.022985523,0.802635715,-2.848013104,,,,,,,,,
170,9.038916884,0.021630442,0.805542335,-2.815551406,,,,,,,,,
171,8.967536467,0.02027536,0.808448955,-2.783089707,,,,,,,,,
172,8.896156051,0.018920279,0.811355575,-2.750628009,,,,,,,,,
173,8.824775634,0.017565197,0.814262195,-2.71816631,,,,,,,,,
174,8.753395218,0.016210115,0.817168815,-2.685704612,,,,,,,,,
175,8.682014802,0.014855034,0.820075435,-2.653242913,,,,,,,,,
176,8.610634385,0.013499952,0.822982055,-2.620781215,,,,,,,,,
177,8.539253969,0.01214487,0.825888675,-2.588319516,,,,,,,,,
178,8.467873552,0.010789789,0.828795295,-2.555857818,,,,,,,,,
179,8.396493136,0.009434707,0.831701915,-2.523396119,,,,,,,,,
180,8.32511272,0.008079625,0.834608535,-2.490934421,,,,,,,,,
181,8.253732303,0.006724544,0.837515155,-2.458472722,,,,,,,,,
182,8.182351887,0.005369462,0.840421776,-2.426011024,,,,,,,,,
183,8.11097147,0.004014381,0.843328396,-2.393549325,,,,,,,,,
184,8.039591054,0.002659299,0.846235016,-2.361087627,,,,,,,,,
185,7.968210638,0.001304217,0.849141636,-2.328625928,,,,,,,,,
186,7.896830221,-5.09E-05,0.852048256,-2.29616423,,,,,,,,,
187,7.825449805,-0.001405946,0.854954876,-2.263702531,,,,,,,,,
188,7.754069388,-0.002761028,0.857861496,-2.231240833,,,,,,,,,
189,7.682688972,-0.004116109,0.860768116,-2.198779134,,,,,,,,,
190,7.611308556,-0.005471191,0.863674736,-2.166317436,,,,,,,,,
191,7.539928139,-0.006826272,0.866581356,-2.133855737,,,,,,,,,
192,7.468547723,-0.008181354,0.869487976,-2.101394039,,,,,,,,,
193,7.397167306,-0.009536436,0.872394596,-2.06893234,,,,,,,,,
194,7.32578689,-0.010891517,0.875301216,-2.036470642,,,,,,,,,
195,7.254406474,-0.012246599,0.878207836,-2.004008943,,,,,,,,,
196,7.183026057,-0.013601681,0.881114456,-1.971547245,,,,,,,,,
197,7.111645641,-0.014956762,0.884021077,-1.939085546,,,,,,,,,
198,7.108997591,-0.014873172,0.883583587,-1.934716504,,,,,,,,,
199,7.175081909,-0.01335091,0.879801987,-1.958440118,,,,,,,,,
200,7.241166227,-0.011828648,0.876020387,-1.982163731,,,,,,,,,
201,7.307250545,-0.010306386,0.872238787,-2.005887345,,,,,,,,,
202,7.373334863,-0.008784124,0.868457188,-2.029610959,,,,,,,,,
203,7.439419181,-0.007261861,0.864675588,-2.053334573,,,,,,,,,
204,7.505503498,-0.005739599,0.860893988,-2.077058186,,,,,,,,,
205,7.571587816,-0.004217337,0.857112388,-2.1007818,,,,,,,,,
206,7.637672134,-0.002695075,0.853330788,-2.124505414,,,,,,,,,
207,7.703756452,-0.001172813,0.849549189,-2.148229028,,,,,,,,,
208,7.76984077,0.000349449,0.845767589,-2.171952641,,,,,,,,,
209,7.835925088,0.001871711,0.841985989,-2.195676255,,,,,,,,,
210,7.902009405,0.003393973,0.838204389,-2.219399869,,,,,,,,,
211,7.968093723,0.004916235,0.83442279,-2.243123483,,,,,,,,,
212,8.034178041,0.006438498,0.83064119,-2.266847096,,,,,,,,,
213,8.100262359,0.00796076,0.82685959,-2.29057071,,,,,,,,,
214,8.166346677,0.009483022,0.82307799,-2.314294324,,,,,,,,,
215,8.232430995,0.011005284,0.81929639,-2.338017938,,,,,,,,,
216,8.298515312,0.012527546,0.815514791,-2.361741551,,,,,,,,,
217,8.36459963,0.014049808,0.811733191,-2.385465165,,,,,,,,,
218,8.430683948,0.01557207,0.807951591,-2.409188779,,,,,,,,,
219,8.496768266,0.017094332,0.804169991,-2.432912393,,,,,,,,,
220,8.562852584,0.018616594,0.800388391,-2.456636006,,,,,,,,,
221,8.628936902,0.020138857,0.796606792,-2.48035962,,,,,,,,,
222,8.695021219,0.021661119,0.792825192,-2.504083234,,,,,,,,,
223,8.761105537,0.023183381,0.789043592,-2.527806848,,,,,,,,,
224,8.827189855,0.024705643,0.785261992,-2.551530461,,,,,,,,,
225,8.893274173,0.026227905,0.781480393,-2.575254075,,,,,,,,,
226,8.959358491,0.027750167,0.777698793,-2.598977689,,,,,,,,,
227,9.025442809,0.029272429,0.773917193,-2.622701303,,,,,,,,,
228,9.091527127,0.030794691,0.770135593,-2.646424916,,,,,,,,,
229,9.135087434,0.032423206,0.767038883,-2.668366613,,,,,,,,,
230,9.156123731,0.034157974,0.764627062,-2.688526394,,,,,,,,,
231,9.177160028,0.035892743,0.76221524,-2.708686174,,,,,,,,,
232,9.198196325,0.037627511,0.759803419,-2.728845954,,,,,,,,,
233,9.219232622,0.039362279,0.757391598,-2.749005734,,,,,,,,,
234,9.240268919,0.041097047,0.754979777,-2.769165514,,,,,,,,,
235,9.261305216,0.042831815,0.752567956,-2.789325294,,,,,,,,,
236,9.282341513,0.044566583,0.750156135,-2.809485075,,,,,,,,,
237,9.30337781,0.046301351,0.747744314,-2.829644855,,,,,,,,,
238,9.324414107,0.048036119,0.745332492,-2.849804635,,,,,,,,,
239,9.345450404,0.049770887,0.742920671,-2.869964415,,,,,,,,,
240,9.366486702,0.051505655,0.74050885,-2.890124195,,,,,,,,,
241,9.387522999,0.053240423,0.738097029,-2.910283975,,,,,,,,,
242,9.408559296,0.054975191,0.735685208,-2.930443756,,,,,,,,,
243,9.429595593,0.056709959,0.733273387,-2.950603536,,,,,,,,,
244,9.45063189,0.058444727,0.730861566,-2.970763316,,,,,,,,,
245,9.471668187,0.060179495,0.728449744,-2.990923096,,,,,,,,,
246,9.492704484,0.061914263,0.726037923,-3.011082876,,,,,,,,,
247,9.513740781,0.063649031,0.723626102,-3.031242656,,,,,,,,,
248,9.534777078,0.065383799,0.721214281,-3.051402437,,,,,,,,,
249,9.555813375,0.067118567,0.71880246,-3.071562217,,,,,,,,,
250,9.576849672,0.068853335,0.716390639,-3.091721997,,,,,,,,,
251,9.597885969,0.070588103,0.713978818,-3.111881777,,,,,,,,,
252,9.618922266,0.072322871,0.711566996,-3.132041557,,,,,,,,,
253,9.639958563,0.074057639,0.709155175,-3.152201337,,,,,,,,,
254,9.66099486,0.075792407,0.706743354,-3.172361118,,,,,,,,,
255,9.682031157,0.077527176,0.704331533,-3.192520898,,,,,,,,,
256,9.703067454,0.079261944,0.701919712,-3.212680678,,,,,,,,,
257,9.724103751,0.080996712,0.699507891,-3.232840458,,,,,,,,,
258,9.745140048,0.08273148,0.69709607,-3.253000238,,,,,,,,,
259,9.766176345,0.084466248,0.694684248,-3.273160018,,,,,,,,,
260,9.765883143,0.083649012,0.691526604,-3.236870028,,,,,,,,,
261,9.765589941,0.082831777,0.688368959,-3.200580037,,,,,,,,,
262,9.765296738,0.082014541,0.685211314,-3.164290047,,,,,,,,,
263,9.765003536,0.081197306,0.68205367,-3.128000056,,,,,,,,,
264,9.764710334,0.080380071,0.678896025,-3.091710065,,,,,,,,,
265,9.764417131,0.079562835,0.67573838,-3.055420075,,,,,,,,,
266,9.764123929,0.0787456,0.672580736,-3.019130084,,,,,,,,,
267,9.763830726,0.077928364,0.669423091,-2.982840094,,,,,,,,,
268,9.763537524,0.077111129,0.666265446,-2.946550103,,,,,,,,,
269,9.763244322,0.076293893,0.663107801,-2.910260113,,,,,,,,,
270,9.762951119,0.075476658,0.659950157,-2.873970122,,,,,,,,,
271,9.762657917,0.074659423,0.656792512,-2.837680131,,,,,,,,,
272,9.762364715,0.073842187,0.653634867,-2.801390141,,,,,,,,,
273,9.762071512,0.073024952,0.650477223,-2.76510015,,,,,,,,,
274,9.76177831,0.072207716,0.647319578,-2.72881016,,,,,,,,,
275,9.761485107,0.071390481,0.644161933,-2.692520169,,,,,,,,,
276,9.761191905,0.070573245,0.641004289,-2.656230178,,,,,,,,,
277,9.760898703,0.06975601,0.637846644,-2.619940188,,,,,,,,,
278,9.7606055,0.068938775,0.634688999,-2.583650197,,,,,,,,,
279,9.760312298,0.068121539,0.631531355,-2.547360207,,,,,,,,,
280,9.760019096,0.067304304,0.62837371,-2.511070216,,,,,,,,,
281,9.759725893,0.066487068,0.625216065,-2.474780226,,,,,,,,,
282,9.759432691,0.065669833,0.622058421,-2.438490235,,,,,,,,,
283,9.759139488,0.064852597,0.618900776,-2.402200244,,,,,,,,,
284,9.758846286,0.064035362,0.615743131,-2.365910254,,,,,,,,,
285,9.758553084,0.063218126,0.612585486,-2.329620263,,,,,,,,,
286,9.758259881,0.062400891,0.609427842,-2.293330273,,,,,,,,,
287,9.757966679,0.061583656,0.606270197,-2.257040282,,,,,,,,,
288,9.757673477,0.06076642,0.603112552,-2.220750291,,,,,,,,,
289,9.757380274,0.059949185,0.599954908,-2.184460301,,,,,,,,,
290,9.731151016,0.061681648,0.596945069,-2.160548038,,,,,,,,,
291,9.678985701,0.06596381,0.594083037,-2.149013504,,,,,,,,,
292,9.626820386,0.070245972,0.591221005,-2.137478969,,,,,,,,,
293,9.574655071,0.074528134,0.588358973,-2.125944435,,,,,,,,,
294,9.522489756,0.078810296,0.58549694,-2.1144099,,,,,,,,,
295,9.470324441,0.083092458,0.582634908,-2.102875366,,,,,,,,,
296,9.418159126,0.08737462,0.579772876,-2.091340831,,,,,,,,,
297,9.365993811,0.091656782,0.576910844,-2.079806297,,,,,,,,,
298,9.313828496,0.095938944,0.574048812,-2.068271762,,,,,,,,,
299,9.261663181,0.100221106,0.571186779,-2.056737228,,,,,,,,,
300,9.209497866,0.104503268,0.568324747,-2.045202693,,,,,,,,,
301,9.157332551,0.10878543,0.565462715,-2.033668159,,,,,,,,,
302,9.105167236,0.113067592,0.562600683,-2.022133624,,,,,,,,,
303,9.053001921,0.117349754,0.559738651,-2.01059909,,,,,,,,,
304,9.000836606,0.121631916,0.556876618,-1.999064555,,,,,,,,,
305,8.948671291,0.125914078,0.554014586,-1.987530021,,,,,,,,,
306,8.896505976,0.13019624,0.551152554,-1.975995486,,,,,,,,,
307,8.844340661,0.134478402,0.548290522,-1.964460952,,,,,,,,,
308,8.792175346,0.138760564,0.545428489,-1.952926417,,,,,,,,,
309,8.740010032,0.143042726,0.542566457,-1.941391883,,,,,,,,,
310,8.687844717,0.147324888,0.539704425,-1.929857348,,,,,,,,,
311,8.635679402,0.151607051,0.536842393,-1.918322814,,,,,,,,,
312,8.583514087,0.155889213,0.533980361,-1.906788279,,,,,,,,,
313,8.531348772,0.160171375,0.531118328,-1.895253745,,,,,,,,,
314,8.479183457,0.164453537,0.528256296,-1.88371921,,,,,,,,,
315,8.427018142,0.168735699,0.525394264,-1.872184676,,,,,,,,,
316,8.374852827,0.173017861,0.522532232,-1.860650141,,,,,,,,,
317,8.322687512,0.177300023,0.5196702,-1.849115607,,,,,,,,,
318,8.270522197,0.181582185,0.516808167,-1.837581072,,,,,,,,,
319,8.218356882,0.185864347,0.513946135,-1.826046538,,,,,,,,,
320,8.166191567,0.190146509,0.511084103,-1.814512003,,,,,,,,,
321,7.948905162,0.184871719,0.523533485,-1.762349894,,,,,,,,,
322,7.731618757,0.179596929,0.535982867,-1.710187785,,,,,,,,,
323,7.514332352,0.174322139,0.548432249,-1.658025676,,,,,,,,,
324,7.297045947,0.169047349,0.560881632,-1.605863567,,,,,,,,,
325,7.079759543,0.163772559,0.573331014,-1.553701458,,,,,,,,,
326,6.862473138,0.158497769,0.585780396,-1.501539349,,,,,,,,,
327,6.645186733,0.15322298,0.598229778,-1.44937724,,,,,,,,,
328,6.427900328,0.14794819,0.61067916,-1.397215131,,,,,,,,,
329,6.210613923,0.1426734,0.623128542,-1.345053022,,,,,,,,,
330,5.993327518,0.13739861,0.635577924,-1.292890913,,,,,,,,,
331,5.776041113,0.13212382,0.648027306,-1.240728804,,,,,,,,,
332,5.558754708,0.12684903,0.660476689,-1.188566695,,,,,,,,,
333,5.341468303,0.12157424,0.672926071,-1.136404586,,,,,,,,,
334,5.124181898,0.116299451,0.685375453,-1.084242477,,,,,,,,,
335,4.906895493,0.111024661,0.697824835,-1.032080368,,,,,,,,,
336,4.689609089,0.105749871,0.710274217,-0.979918259,,,,,,,,,
337,4.472322684,0.100475081,0.722723599,-0.92775615,,,,,,,,,
338,4.255036279,0.095200291,0.735172981,-0.875594041,,,,,,,,,
339,4.037749874,0.089925501,0.747622363,-0.823431932,,,,,,,,,
340,3.820463469,0.084650711,0.760071746,-0.771269823,,,,,,,,,
341,3.603177064,0.079375921,0.772521128,-0.719107714,,,,,,,,,
342,3.385890659,0.074101132,0.78497051,-0.666945605,,,,,,,,,
343,3.168604254,0.068826342,0.797419892,-0.614783496,,,,,,,,,
344,2.951317849,0.063551552,0.809869274,-0.562621387,,,,,,,,,
345,2.734031444,0.058276762,0.822318656,-0.510459278,,,,,,,,,
346,2.516745039,0.053001972,0.834768038,-0.458297169,,,,,,,,,
347,2.299458635,0.047727182,0.84721742,-0.40613506,,,,,,,,,
348,2.08217223,0.042452392,0.859666803,-0.353972951,,,,,,,,,
349,1.864885825,0.037177603,0.872116185,-0.301810842,,,,,,,,,
350,1.64759942,0.031902813,0.884565567,-0.249648733,,,,,,,,,
351,1.545527549,0.029009134,0.891580943,-0.2299328,,,,,,,,,
352,1.558670211,0.028496567,0.893162313,-0.242663044,,,,,,,,,
353,1.571812874,0.027984,0.894743682,-0.255393288,,,,,,,,,
354,1.584955537,0.027471433,0.896325052,-0.268123532,,,,,,,,,
355,1.598098199,0.026958865,0.897906422,-0.280853775,,,,,,,,,
356,1.611240862,0.026446298,0.899487792,-0.293584019,,,,,,,,,
357,1.624383524,0.025933731,0.901069161,-0.306314263,,,,,,,,,
358,1.637526187,0.025421164,0.902650531,-0.319044507,,,,,,,,,
359,1.65066885,0.024908597,0.904231901,-0.331774751,,,,,,,,,
360,1.663811512,0.02439603,0.905813271,-0.344504994,,,,,,,,,
361,1.676954175,0.023883462,0.90739464,-0.357235238,,,,,,,,,
362,1.690096837,0.023370895,0.90897601,-0.369965482,,,,,,,,,
363,1.7032395,0.022858328,0.91055738,-0.382695726,,,,,,,,,
364,1.716382163,0.022345761,0.91213875,-0.39542597,,,,,,,,,
365,1.729524825,0.021833194,0.913720119,-0.408156213,,,,,,,,,
366,1.742667488,0.021320627,0.915301489,-0.420886457,,,,,,,,,
