$Flow file for segment 34,,,,
To the right of the sum of flows are individual flows starting with QWD then QSTR,,,,
JDAY,PH,Spill,Fish,
94.5,97.59,0,1.7,4/3/2000
95.5,96.67,0,1.7,4/4/2000
96.5,96.64,0.57,1.7,4/5/2000
97.5,100.5,0,1.7,4/6/2000
98.5,98.29,0,1.7,4/7/2000
99.5,101.25,0,1.7,4/8/2000
100.5,97.47,0,1.7,4/9/2000
101.5,99.03,0,1.7,4/10/2000
102.5,97.99,0,1.7,4/11/2000
103.5,100.8,0,1.7,4/12/2000
104.5,127.85,0,1.7,4/13/2000
105.5,125.18,8.76,1.7,4/14/2000
106.5,134.27,14.79,1.7,4/15/2000
107.5,131.28,14.49,1.7,4/16/2000
108.5,127.4,6.75,1.7,4/17/2000
109.5,110.95,0,1.7,4/18/2000
110.5,124.83,0,1.7,4/19/2000
111.5,124.68,0.01,1.7,4/20/2000
112.5,125.22,0,1.7,4/21/2000
113.5,121.14,0,1.7,4/22/2000
114.5,125.17,0,1.7,4/23/2000
115.5,121.71,0,1.7,4/24/2000
116.5,118.03,0,1.7,4/25/2000
117.5,113.56,11.47,1.7,4/26/2000
118.5,118.19,0.04,1.7,4/27/2000
119.5,130.15,8.09,1.7,4/28/2000
120.5,133.39,23.54,1.7,4/29/2000
121.5,134.08,29.02,1.7,4/30/2000
122.5,136.47,29.12,1.7,5/1/2000
123.5,119.26,46.74,1.7,5/2/2000
124.5,134.68,29.73,1.7,5/3/2000
125.5,133.32,29.66,1.7,5/4/2000
126.5,132.76,28.96,1.7,5/5/2000
127.5,133.05,28.66,1.7,5/6/2000
128.5,133.15,28.63,1.7,5/7/2000
129.5,131.44,22.57,1.7,5/8/2000
130.5,136.35,8.4,1.7,5/9/2000
131.5,124.53,0,1.7,5/10/2000
132.5,113.3,0,1.7,5/11/2000
133.5,101.7,0,1.7,5/12/2000
134.5,87.51,0,1.7,5/13/2000
135.5,74.04,0,1.7,5/14/2000
136.5,68.19,0,1.7,5/15/2000
137.5,69.86,0,1.7,5/16/2000
138.5,70.13,0,1.7,5/17/2000
139.5,65.71,0,1.7,5/18/2000
140.5,66.17,0,1.7,5/19/2000
141.5,65.09,0,1.7,5/20/2000
142.5,64.3,0,1.7,5/21/2000
143.5,64.74,0,1.7,5/22/2000
144.5,64.74,0,1.7,5/23/2000
145.5,64.75,0,1.7,5/24/2000
146.5,66.47,0,1.7,5/25/2000
147.5,64.41,0,1.7,5/26/2000
148.5,65.2,0,1.7,5/27/2000
149.5,66.66,0,1.7,5/28/2000
150.5,64.87,0,1.7,5/29/2000
151.5,65.86,0,1.7,5/30/2000
152.5,66.93,0,1.7,5/31/2000
153.5,65.54,0,1.7,6/1/2000
154.5,63.81,0,1.7,6/2/2000
155.5,65.72,0,1.7,6/3/2000
156.5,64.36,0,1.7,6/4/2000
157.5,65.95,0,1.7,6/5/2000
158.5,65.93,0,1.7,6/6/2000
159.5,65.6,0,1.7,6/7/2000
160.5,66.48,0,1.7,6/8/2000
161.5,65.66,0,1.7,6/9/2000
162.5,66.63,0,1.7,6/10/2000
163.5,66.47,0,1.7,6/11/2000
164.5,66.13,0,1.7,6/12/2000
165.5,66.85,0,1.7,6/13/2000
166.5,67.06,0,1.7,6/14/2000
167.5,66.34,0,1.7,6/15/2000
168.5,66.36,0,1.7,6/16/2000
169.5,66.36,0,1.7,6/17/2000
170.5,67.48,0,1.7,6/18/2000
171.5,66.92,0,1.7,6/19/2000
172.5,66.79,0,1.7,6/20/2000
173.5,66.59,0,1.7,6/21/2000
174.5,67.15,0,1.7,6/22/2000
175.5,76.87,0,1.7,6/23/2000
176.5,91.79,0,1.7,6/24/2000
177.5,92.29,0,1.7,6/25/2000
178.5,90.21,0,1.72,6/26/2000
179.5,83.65,0,1.7,6/27/2000
180.5,80.07,0,1.7,6/28/2000
181.5,83.06,0,1.7,6/29/2000
182.5,81.59,0,1.7,6/30/2000
183.5,81.09,0,1.7,7/1/2000
184.5,78.8,0,1.7,7/2/2000
185.5,81.4,0,1.7,7/3/2000
186.5,81.19,0,1.7,7/4/2000
187.5,85.94,0,1.7,7/5/2000
188.5,79.83,0,1.7,7/6/2000
189.5,79.56,0,1.7,7/7/2000
190.5,81.36,0,1.7,7/8/2000
191.5,78.78,0,1.7,7/9/2000
192.5,75.22,0,1.7,7/10/2000
193.5,71.2,0,1.7,7/11/2000
194.5,65.91,0,1.7,7/12/2000
195.5,72.89,0,1.7,7/13/2000
196.5,96.14,0,1.7,7/14/2000
197.5,92.13,0,1.7,7/15/2000
198.5,94.88,0,1.7,7/16/2000
199.5,90.07,0,1.7,7/17/2000
200.5,104.93,0,1.7,7/18/2000
201.5,92.8,0,1.7,7/19/2000
202.5,94.41,0,1.7,7/20/2000
203.5,97.18,0,1.7,7/21/2000
204.5,96.08,0,1.7,7/22/2000
205.5,109.98,0,1.7,7/23/2000
206.5,82.43,27.53,1.7,7/24/2000
207.5,64.84,47.28,1.7,7/25/2000
208.5,62.08,36.39,1.7,7/26/2000
209.5,61.45,30.55,1.7,7/27/2000
210.5,64.29,31.06,1.7,7/28/2000
211.5,62.38,20.93,1.7,7/29/2000
212.5,63.59,15.02,1.7,7/30/2000
213.5,66.72,6.03,1.7,7/31/2000
214.5,66.83,0,1.7,8/1/2000
215.5,66.8,0,1.7,8/2/2000
216.5,65.65,0,1.7,8/3/2000
217.5,67,0,1.7,8/4/2000
218.5,66.46,0,1.7,8/5/2000
219.5,63.45,0,1.7,8/6/2000
220.5,64.88,0,1.7,8/7/2000
221.5,66.88,0,1.7,8/8/2000
222.5,49.06,8.09,1.7,8/9/2000
223.5,52.5,0,1.7,8/10/2000
224.5,59.27,0,1.7,8/11/2000
225.5,43.73,0,1.7,8/12/2000
226.5,38.66,0,1.7,8/13/2000
227.5,44.38,0,1.7,8/14/2000
228.5,40.17,0,1.7,8/15/2000
229.5,41.14,0,1.7,8/16/2000
230.5,38.61,0,1.7,8/17/2000
231.5,41.3,0,1.7,8/18/2000
232.5,41.76,0,1.7,8/19/2000
233.5,40.29,0,1.7,8/20/2000
234.5,43.9,0,1.7,8/21/2000
235.5,42.88,0,1.7,8/22/2000
236.5,39.95,0,1.7,8/23/2000
237.5,36.48,0,1.7,8/24/2000
238.5,30.27,0,1.7,8/25/2000
239.5,37.33,0,1.7,8/26/2000
240.5,28.62,0,1.7,8/27/2000
241.5,41.29,0.01,1.7,8/28/2000
242.5,41.43,0,1.7,8/29/2000
243.5,41.71,0,1.7,8/30/2000
244.5,41.15,0,1.7,8/31/2000
245.5,30.26,0,1.7,9/1/2000
246.5,7.26,0,0.63,9/2/2000
247.5,4.42,0,0.7,9/3/2000
248.5,29.75,0,1.65,9/4/2000
249.5,23.88,0,1.7,9/5/2000
250.5,7.91,0,1.15,9/6/2000
251.5,0.37,0,0.71,9/7/2000
252.5,22.2,0,0.88,9/8/2000
253.5,41.84,0,1.7,9/9/2000
254.5,38.18,0,1.7,9/10/2000
255.5,40.66,0,1.7,9/11/2000
256.5,38.7,0,1.7,9/12/2000
257.5,38.09,0,1.7,9/13/2000
258.5,41.56,0,1.7,9/14/2000
259.5,40.65,0,1.7,9/15/2000
260.5,41.01,0,1.7,9/16/2000
261.5,37.85,0,1.7,9/17/2000
262.5,40.18,0,1.7,9/18/2000
263.5,40.13,0,1.7,9/19/2000
264.5,43.1,0,1.7,9/20/2000
265.5,40.16,0,1.7,9/21/2000
266.5,40.25,0,1.7,9/22/2000
267.5,39.11,0,1.7,9/23/2000
268.5,40.32,0,1.7,9/24/2000
269.5,41.09,0,1.7,9/25/2000
270.5,41.49,0,1.7,9/26/2000
271.5,40.84,0,1.7,9/27/2000
272.5,37.72,0,1.71,9/28/2000
273.5,42.05,0,1.7,9/29/2000
274.5,39.19,0,1.7,9/30/2000
275.5,40.76,0,1.7,10/1/2000
276.5,47.91,0,1.7,10/2/2000
277.5,49.52,0,1.7,10/3/2000
278.5,48.88,0,1.7,10/4/2000
279.5,48.68,0,1.7,10/5/2000
280.5,46.07,0,1.7,10/6/2000
281.5,48.6,0,1.7,10/7/2000
282.5,49.99,0,1.7,10/8/2000
283.5,47.79,0,1.7,10/9/2000
284.5,48.05,0,1.7,10/10/2000
285.5,47.09,0,1.7,10/11/2000
286.5,46.09,0,1.7,10/12/2000
287.5,46.66,0,1.7,10/13/2000
288.5,9.76,0,0.78,10/14/2000
289.5,0,0,0.01,10/15/2000
290.5,42.64,0,1.34,10/16/2000
291.5,59.93,0,1.7,10/17/2000
292.5,60.18,0,1.7,10/18/2000
293.5,59.47,0,1.7,10/19/2000
294.5,60.52,0,1.7,10/20/2000
295.5,60.75,0,1.7,10/21/2000
296.5,54.08,0,1.7,10/22/2000
297.5,59.24,0,1.55,10/23/2000
298.5,60.46,0,1.7,10/24/2000
299.5,58.37,0,1.7,10/25/2000
300.5,58.38,0,1.7,10/26/2000
301.5,60.07,0,1.7,10/27/2000
302.5,57.77,0,1.7,10/28/2000
303.5,51.83,0,1.7,10/29/2000
304.5,57.39,0,1.7,10/30/2000
305.5,60.44,0,1.7,10/31/2000
306.5,57.33,0,1.7,11/1/2000
307.5,55.42,0,1.7,11/2/2000
308.5,48.15,0,1.7,11/3/2000
309.5,49.15,0,1.7,11/4/2000
310.5,45.43,0,1.7,11/5/2000
311.5,46.04,0,1.7,11/6/2000
312.5,46.08,0,1.7,11/7/2000
313.5,47.9,0,1.7,11/8/2000
314.5,48.77,0,1.7,11/9/2000
315.5,48.02,0,1.7,11/10/2000
316.5,46.87,0,1.69,11/11/2000
317.5,47.88,0,1.7,11/12/2000
318.5,50.73,0,1.7,11/13/2000
319.5,52.26,0,1.7,11/14/2000
320.5,55.79,0,1.7,11/15/2000
321.5,62.29,0,1.7,11/16/2000
322.5,65.42,0,1.7,11/17/2000
323.5,65.84,0,1.7,11/18/2000
324.5,68.43,0,1.7,11/19/2000
325.5,68.01,0,1.7,11/20/2000
326.5,66.96,0,1.7,11/21/2000
327.5,67.73,0,1.7,11/22/2000
328.5,66.16,0,1.7,11/23/2000
329.5,66.8,0,1.7,11/24/2000
330.5,68.4,0,1.7,11/25/2000
331.5,67.55,0,1.7,11/26/2000
332.5,68.47,0,1.7,11/27/2000
333.5,65.92,0,1.7,11/28/2000
334.5,66.9,0,1.7,11/29/2000
335.5,71.86,0.04,1.7,11/30/2000
336.5,68.6,0,1.7,12/1/2000
337.5,67.57,0,1.7,12/2/2000
338.5,65.47,0,1.7,12/3/2000
339.5,69.12,0,1.7,12/4/2000
340.5,63.87,2.13,1.7,12/5/2000
341.5,66.03,0,1.7,12/6/2000
342.5,63.06,0,1.7,12/7/2000
343.5,63.14,0,1.7,12/8/2000
344.5,64.31,0,1.7,12/9/2000
345.5,63.58,0,1.7,12/10/2000
346.5,64.99,0,1.7,12/11/2000
347.5,62.85,0,1.7,12/12/2000
348.5,66.32,0,1.7,12/13/2000
349.5,65.63,0,1.7,12/14/2000
350.5,64.52,0,1.7,12/15/2000
351.5,64.86,0,1.7,12/16/2000
352.5,64.33,0,1.7,12/17/2000
353.5,65.67,0,1.7,12/18/2000
354.5,67.22,0,1.7,12/19/2000
355.5,68.04,0,1.73,12/20/2000
356.5,67.5,0,1.7,12/21/2000
357.5,67.97,0,1.7,12/22/2000
358.5,67.08,0,1.7,12/23/2000
359.5,66.92,0,1.7,12/24/2000
360.5,66.01,0,1.7,12/25/2000
361.5,60.72,0,1.74,12/26/2000
362.5,63.57,0,1.73,12/27/2000
363.5,64.12,0.02,1.71,12/28/2000
364.5,62.74,0,1.71,12/29/2000
365.5,65.01,0,1.76,12/30/2000
366.5,64.37,0,1.71,12/31/2000
367.5,65.22,0,1.7,1/1/2001
368.5,68.42,0,1.7,1/2/2001
369.5,67.4,0,1.7,1/3/2001
370.5,66.94,0,1.7,1/4/2001
371.5,58.77,0,1.7,1/5/2001
372.5,55.38,0,1.7,1/6/2001
373.5,55.39,0,1.7,1/7/2001
374.5,61.55,0,1.7,1/8/2001
375.5,81.76,0,1.7,1/9/2001
376.5,81.36,0,1.7,1/10/2001
377.5,78.19,0,1.7,1/11/2001
378.5,81.78,0,1.7,1/12/2001
379.5,67.81,0,1.7,1/13/2001
380.5,57.08,0,1.7,1/14/2001
381.5,56.43,0,1.7,1/15/2001
382.5,54.1,0,1.7,1/16/2001
383.5,54.34,0,1.7,1/17/2001
384.5,56.73,0,1.7,1/18/2001
385.5,47.06,0,1.7,1/19/2001
386.5,43.22,0,1.7,1/20/2001
387.5,40.58,0,1.7,1/21/2001
388.5,41.67,0,1.7,1/22/2001
389.5,38.29,0,1.7,1/23/2001
390.5,39.62,0,1.7,1/24/2001
391.5,38.14,0,1.7,1/25/2001
392.5,36.75,0,1.7,1/26/2001
393.5,39.33,0,1.7,1/27/2001
394.5,40.78,0,1.7,1/28/2001
395.5,40.47,0,1.7,1/29/2001
396.5,39.81,0,1.7,1/30/2001
397.5,42.25,0,1.7,1/31/2001
398.5,40.72,0,1.7,2/1/2001
399.5,40.37,0,1.7,2/2/2001
400.5,40.03,0,1.7,2/3/2001
401.5,39.41,0,1.7,2/4/2001
402.5,40.53,0,1.7,2/5/2001
403.5,38.74,0,1.7,2/6/2001
404.5,40.44,0,1.7,2/7/2001
405.5,43.04,0,1.7,2/8/2001
406.5,28.32,0,1.7,2/9/2001
407.5,27.02,0,1.7,2/10/2001
408.5,18.72,0,1.7,2/11/2001
409.5,42.08,0,1.7,2/12/2001
410.5,37.43,0,1.7,2/13/2001
411.5,40.46,0,1.7,2/14/2001
412.5,38.36,0,1.7,2/15/2001
413.5,38.77,0,1.7,2/16/2001
414.5,40.55,0,1.7,2/17/2001
415.5,40.07,0,1.7,2/18/2001
416.5,36.57,0,1.7,2/19/2001
417.5,34.98,0,1.7,2/20/2001
418.5,40.64,0,1.7,2/21/2001
419.5,39.04,0,1.7,2/22/2001
420.5,35.59,0,1.7,2/23/2001
421.5,33.59,0,1.7,2/24/2001
422.5,38.46,0,1.76,2/25/2001
423.5,38.2,0,1.7,2/26/2001
424.5,38.94,0,1.7,2/27/2001
425.5,41.78,0,1.7,2/28/2001
426.5,41.8,0,1.7,3/1/2001
427.5,39.45,0,1.7,3/2/2001
428.5,38.43,0,1.7,3/3/2001
429.5,36.43,0,1.7,3/4/2001
430.5,35.17,0,1.7,3/5/2001
431.5,36.91,0,1.7,3/6/2001
432.5,37.66,0,1.7,3/7/2001
433.5,40.05,0,1.7,3/8/2001
434.5,40.25,0,1.7,3/9/2001
435.5,41.3,0,1.7,3/10/2001
436.5,39.02,0,1.7,3/11/2001
437.5,37.94,0,1.7,3/12/2001
438.5,41.71,0,1.7,3/13/2001
439.5,40.36,0,1.7,3/14/2001
440.5,39.64,0,1.7,3/15/2001
441.5,39.22,0,1.7,3/16/2001
442.5,39.23,0,1.7,3/17/2001
443.5,39.29,0,1.7,3/18/2001
444.5,42.02,0,1.7,3/19/2001
445.5,43.12,0,1.7,3/20/2001
446.5,40.88,0,1.7,3/21/2001
447.5,40.26,0,1.7,3/22/2001
448.5,39.6,0,1.7,3/23/2001
449.5,39.83,0,1.7,3/24/2001
450.5,39.66,0,1.7,3/25/2001
451.5,42.26,0,1.7,3/26/2001
452.5,40.12,0,1.7,3/27/2001
453.5,39.54,0,1.7,3/28/2001
454.5,37.01,0,1.7,3/29/2001
455.5,38.78,0,1.7,3/30/2001
456.5,40.17,0,1.7,3/31/2001
457.5,39.54,0,1.7,4/1/2001
458.5,42.44,0,1.7,4/2/2001
459.5,52.02,0,1.7,4/3/2001
460.5,53.22,0,1.7,4/4/2001
461.5,54.01,0,1.7,4/5/2001
462.5,53.6,0,1.7,4/6/2001
463.5,42.08,0,1.7,4/7/2001
464.5,40.32,0,1.7,4/8/2001
465.5,39.67,0,1.7,4/9/2001
466.5,40.83,0,1.7,4/10/2001
467.5,41.57,0,1.7,4/11/2001
468.5,40.73,0,1.7,4/12/2001
469.5,42.02,0,1.7,4/13/2001
470.5,39.92,0,1.7,4/14/2001
471.5,40.37,0,1.7,4/15/2001
472.5,41.36,0,1.7,4/16/2001
473.5,40.4,0,1.7,4/17/2001
474.5,35.68,0.17,1.74,4/18/2001
475.5,29.84,0.03,1.7,4/19/2001
476.5,55.03,0,1.7,4/20/2001
477.5,54.74,0,1.7,4/21/2001
478.5,42.13,0,1.7,4/22/2001
479.5,39.52,0,1.7,4/23/2001
480.5,41.59,0.11,1.7,4/24/2001
481.5,39.75,0,1.71,4/25/2001
482.5,39.59,0,1.7,4/26/2001
483.5,38.21,0,1.7,4/27/2001
484.5,40.74,0,1.7,4/28/2001
485.5,40.86,0,1.7,4/29/2001
486.5,39.82,0.42,1.7,4/30/2001
487.5,40.47,0,1.7,5/1/2001
488.5,40.77,0,1.7,5/2/2001
489.5,40.41,0,1.7,5/3/2001
490.5,40.17,0.31,1.7,5/4/2001
491.5,41.56,0.33,1.7,5/5/2001
492.5,40.62,0.5,1.7,5/6/2001
493.5,42.03,0.55,1.7,5/7/2001
494.5,40.71,0.59,1.7,5/8/2001
495.5,40.47,0.64,1.7,5/9/2001
496.5,40.43,0.66,1.7,5/10/2001
497.5,40.25,0.12,1.7,5/11/2001
498.5,45.82,0,1.7,5/12/2001
499.5,50.38,0,1.7,5/13/2001
500.5,49.25,0,1.7,5/14/2001
501.5,49.99,0,1.7,5/15/2001
502.5,49,0.44,1.7,5/16/2001
503.5,45.2,0.4,1.7,5/17/2001
504.5,45.55,0.43,1.7,5/18/2001
505.5,46.98,0.43,1.7,5/19/2001
506.5,49.29,0.46,1.7,5/20/2001
507.5,49.1,0,1.63,5/21/2001
508.5,48.58,0,1.7,5/22/2001
509.5,50.89,0,1.7,5/23/2001
510.5,48.8,0,1.7,5/24/2001
511.5,50.78,0.03,1.7,5/25/2001
512.5,45.78,0,1.7,5/26/2001
513.5,47.25,0,1.7,5/27/2001
514.5,69.02,0,1.7,5/28/2001
515.5,66.97,0,1.7,5/29/2001
516.5,65.5,0,1.7,5/30/2001
517.5,65.14,0,1.7,5/31/2001
518.5,65.53,0,1.7,6/1/2001
519.5,87.03,0,1.7,6/2/2001
520.5,81.09,0,1.7,6/3/2001
521.5,85.1,0,1.7,6/4/2001
522.5,81.2,0,1.7,6/5/2001
523.5,83.27,0,1.7,6/6/2001
524.5,82.95,0,1.7,6/7/2001
525.5,83.29,0,1.7,6/8/2001
526.5,82.32,0,1.7,6/9/2001
527.5,60.5,0,1.7,6/10/2001
528.5,55.67,0,1.7,6/11/2001
529.5,55.11,0,1.7,6/12/2001
530.5,54.64,0,1.7,6/13/2001
531.5,53.03,0,1.7,6/14/2001
532.5,52.63,0,1.74,6/15/2001
533.5,51.26,0,1.7,6/16/2001
534.5,53.33,0,1.7,6/17/2001
535.5,53.31,0,1.32,6/18/2001
536.5,54.45,0,1.44,6/19/2001
537.5,57.76,0,1.69,6/20/2001
538.5,69.23,0,1.7,6/21/2001
539.5,71.07,0,1.7,6/22/2001
540.5,72.67,0,1.7,6/23/2001
541.5,70.43,0,1.7,6/24/2001
542.5,71.39,0,1.7,6/25/2001
543.5,70.96,0,1.7,6/26/2001
544.5,71.71,0,1.7,6/27/2001
545.5,70.88,0,1.7,6/28/2001
546.5,70.71,0,1.7,6/29/2001
547.5,58.75,0,1.7,6/30/2001
548.5,57.67,0,1.7,7/1/2001
549.5,56.1,0,1.71,7/2/2001
550.5,55.92,0,1.7,7/3/2001
551.5,58.48,0,1.7,7/4/2001
552.5,53.5,0,1.59,7/5/2001
553.5,58.81,0,1.7,7/6/2001
554.5,56.51,0,1.7,7/7/2001
555.5,56.97,0,1.7,7/8/2001
556.5,58.61,0,1.7,7/9/2001
557.5,56.41,0,1.7,7/10/2001
558.5,54.12,0,1.7,7/11/2001
559.5,55.81,0,1.7,7/12/2001
560.5,57.32,0,1.7,7/13/2001
561.5,55.76,0,1.7,7/14/2001
562.5,55.8,0,1.7,7/15/2001
563.5,56.46,0,1.7,7/16/2001
564.5,59.38,0,1.76,7/17/2001
565.5,57.93,0,1.7,7/18/2001
566.5,56.77,0,1.7,7/19/2001
567.5,55.96,0,1.7,7/20/2001
568.5,56.03,0,1.7,7/21/2001
569.5,55.78,0,1.7,7/22/2001
570.5,56.76,0,1.7,7/23/2001
571.5,56.08,0,1.7,7/24/2001
572.5,59.11,0,1.7,7/25/2001
573.5,57.42,0,1.7,7/26/2001
574.5,55.8,0,1.7,7/27/2001
575.5,56.39,0,1.7,7/28/2001
576.5,57.68,0,1.7,7/29/2001
577.5,57.87,0,1.7,7/30/2001
578.5,50.09,0,1.7,7/31/2001
579.5,46.01,0,1.7,8/1/2001
580.5,45.68,0,1.7,8/2/2001
581.5,40.77,0,1.7,8/3/2001
582.5,43.76,0,1.7,8/4/2001
583.5,42.57,0,1.7,8/5/2001
584.5,40.84,0,1.7,8/6/2001
585.5,42.03,0,1.7,8/7/2001
586.5,41.21,0,1.7,8/8/2001
587.5,39.24,0,1.7,8/9/2001
588.5,41.71,0,1.7,8/10/2001
589.5,41.71,0,1.7,8/11/2001
590.5,40.15,0,1.7,8/12/2001
591.5,40.13,0,1.7,8/13/2001
592.5,38.77,0,1.7,8/14/2001
593.5,43.23,0,1.7,8/15/2001
594.5,40.62,0,1.7,8/16/2001
595.5,38.9,0,1.7,8/17/2001
596.5,41.39,0,1.7,8/18/2001
597.5,41.38,0,1.7,8/19/2001
598.5,43.18,0,1.7,8/20/2001
599.5,42.04,0,1.7,8/21/2001
600.5,38.89,0,1.69,8/22/2001
601.5,43.68,0,1.69,8/23/2001
