$Flow file for segment 34,,,
To the right of the sum of flows are individual flows starting with QWD then QSTR,,,
JDAY,PH,Spill,Fish
158.5,65.93,0.00,1.70
159.5,65.60,0.00,1.70
160.5,66.48,0.00,1.70
161.5,65.66,0.00,1.70
162.5,66.63,0.00,1.70
163.5,66.47,0.00,1.70
164.5,66.13,0.00,1.70
165.5,66.85,0.00,1.70
166.5,67.06,0.00,1.70
167.5,66.34,0.00,1.70
168.5,66.36,0.00,1.70
169.5,66.36,0.00,1.70
170.5,67.48,0.00,1.70
171.5,66.92,0.00,1.70
172.5,66.79,0.00,1.70
173.5,66.59,0.00,1.70
174.5,67.15,0.00,1.70
175.5,76.87,0.00,1.70
176.5,91.79,0.00,1.70
177.5,92.29,0.00,1.70
178.5,90.21,0.00,1.72
179.5,83.65,0.00,1.70
180.5,80.07,0.00,1.70
181.5,83.06,0.00,1.70
182.5,81.59,0.00,1.70
183.5,81.09,0.00,1.70
184.5,78.80,0.00,1.70
185.5,81.40,0.00,1.70
186.5,81.19,0.00,1.70
187.5,85.94,0.00,1.70
188.5,79.83,0.00,1.70
189.5,79.56,0.00,1.70
190.5,81.36,0.00,1.70
191.5,78.78,0.00,1.70
192.5,75.22,0.00,1.70
193.5,71.20,0.00,1.70
194.5,65.91,0.00,1.70
195.5,72.89,0.00,1.70
196.5,96.14,0.00,1.70
197.5,92.13,0.00,1.70
198.5,94.88,0.00,1.70
199.5,90.07,0.00,1.70
200.5,104.93,0.00,1.70
201.5,92.80,0.00,1.70
202.5,94.41,0.00,1.70
203.5,97.18,0.00,1.70
204.5,96.08,0.00,1.70
205.5,109.98,0.00,1.70
206.5,82.43,27.53,1.70
207.5,64.84,47.28,1.70
208.5,62.08,36.39,1.70
209.5,61.45,30.55,1.70
210.5,64.29,31.06,1.70
211.5,62.38,20.93,1.70
212.5,63.59,15.02,1.70
213.5,66.72,6.03,1.70
214.5,66.83,0.00,1.70
215.5,66.80,0.00,1.70
216.5,65.65,0.00,1.70
217.5,67.00,0.00,1.70
218.5,66.46,0.00,1.70
219.5,63.45,0.00,1.70
220.5,64.88,0.00,1.70
221.5,66.88,0.00,1.70
222.5,49.06,8.09,1.70
223.5,52.50,0.00,1.70
224.5,59.27,0.00,1.70
225.5,43.73,0.00,1.70
226.5,38.66,0.00,1.70
227.5,44.38,0.00,1.70
228.5,40.17,0.00,1.70
229.5,41.14,0.00,1.70
230.5,38.61,0.00,1.70
231.5,41.30,0.00,1.70
232.5,41.76,0.00,1.70
233.5,40.29,0.00,1.70
234.5,43.90,0.00,1.70
235.5,42.88,0.00,1.70
236.5,39.95,0.00,1.70
237.5,36.48,0.00,1.70
238.5,30.27,0.00,1.70
239.5,37.33,0.00,1.70
240.5,28.62,0.00,1.70
241.5,41.29,0.01,1.70
242.5,41.43,0.00,1.70
243.5,41.71,0.00,1.70
244.5,41.15,0.00,1.70
245.5,30.26,0.00,1.70
246.5,7.26,0.00,0.63
247.5,4.42,0.00,0.70
248.5,29.75,0.00,1.65
249.5,23.88,0.00,1.70
250.5,7.91,0.00,1.15
251.5,0.37,0.00,0.71
252.5,22.20,0.00,0.88
253.5,41.84,0.00,1.70
254.5,38.18,0.00,1.70
255.5,40.66,0.00,1.70
256.5,38.70,0.00,1.70
257.5,38.09,0.00,1.70
258.5,41.56,0.00,1.70
259.5,40.65,0.00,1.70
260.5,41.01,0.00,1.70
261.5,37.85,0.00,1.70
262.5,40.18,0.00,1.70
263.5,40.13,0.00,1.70
264.5,43.10,0.00,1.70
265.5,40.16,0.00,1.70
266.5,40.25,0.00,1.70
267.5,39.11,0.00,1.70
268.5,40.32,0.00,1.70
269.5,41.09,0.00,1.70
270.5,41.49,0.00,1.70
271.5,40.84,0.00,1.70
272.5,37.72,0.00,1.71
273.5,42.05,0.00,1.70
274.5,39.19,0.00,1.70
275.5,40.76,0.00,1.70
276.5,47.91,0.00,1.70
277.5,49.52,0.00,1.70
278.5,48.88,0.00,1.70
279.5,48.68,0.00,1.70
280.5,46.07,0.00,1.70
281.5,48.60,0.00,1.70
282.5,49.99,0.00,1.70
283.5,47.79,0.00,1.70
284.5,48.05,0.00,1.70
285.5,47.09,0.00,1.70
286.5,46.09,0.00,1.70
287.5,46.66,0.00,1.70
288.5,9.76,0.00,0.78
289.5,0.00,0.00,0.01
290.5,42.64,0.00,1.34
291.5,59.93,0.00,1.70
292.5,60.18,0.00,1.70
293.5,59.47,0.00,1.70
294.5,60.52,0.00,1.70
295.5,60.75,0.00,1.70
296.5,54.08,0.00,1.70
297.5,59.24,0.00,1.55
298.5,60.46,0.00,1.70
299.5,58.37,0.00,1.70
300.5,58.38,0.00,1.70
301.5,60.07,0.00,1.70
302.5,57.77,0.00,1.70
303.5,51.83,0.00,1.70
304.5,57.39,0.00,1.70
305.5,60.44,0.00,1.70
306.5,57.33,0.00,1.70
307.5,55.42,0.00,1.70
308.5,48.15,0.00,1.70
309.5,49.15,0.00,1.70
310.5,45.43,0.00,1.70
311.5,46.04,0.00,1.70
312.5,46.08,0.00,1.70
313.5,47.90,0.00,1.70
314.5,48.77,0.00,1.70
315.5,48.02,0.00,1.70
316.5,46.87,0.00,1.69
317.5,47.88,0.00,1.70
318.5,50.73,0.00,1.70
319.5,52.26,0.00,1.70
320.5,55.79,0.00,1.70
321.5,62.29,0.00,1.70
322.5,65.42,0.00,1.70
323.5,65.84,0.00,1.70
324.5,68.43,0.00,1.70
325.5,68.01,0.00,1.70
326.5,66.96,0.00,1.70
327.5,67.73,0.00,1.70
328.5,66.16,0.00,1.70
329.5,66.80,0.00,1.70
330.5,68.40,0.00,1.70
331.5,67.55,0.00,1.70
332.5,68.47,0.00,1.70
333.5,65.92,0.00,1.70
334.5,66.90,0.00,1.70
335.5,71.86,0.04,1.70
336.5,68.60,0.00,1.70
337.5,67.57,0.00,1.70
338.5,65.47,0.00,1.70
339.5,69.12,0.00,1.70
340.5,63.87,2.13,1.70
341.5,66.03,0.00,1.70
342.5,63.06,0.00,1.70
343.5,63.14,0.00,1.70
344.5,64.31,0.00,1.70
345.5,63.58,0.00,1.70
346.5,64.99,0.00,1.70
347.5,62.85,0.00,1.70
348.5,66.32,0.00,1.70
349.5,65.63,0.00,1.70
350.5,64.52,0.00,1.70
351.5,64.86,0.00,1.70
352.5,64.33,0.00,1.70
353.5,65.67,0.00,1.70
354.5,67.22,0.00,1.70
355.5,68.04,0.00,1.73
356.5,67.50,0.00,1.70
357.5,67.97,0.00,1.70
358.5,67.08,0.00,1.70
359.5,66.92,0.00,1.70
360.5,66.01,0.00,1.70
361.5,60.72,0.00,1.74
362.5,63.57,0.00,1.73
363.5,64.12,0.02,1.71
364.5,62.74,0.00,1.71
365.5,65.01,0.00,1.76
366.5,64.37,0.00,1.71
367.5,65.22,0.00,1.70
368.5,68.42,0.00,1.70
369.5,67.40,0.00,1.70
370.5,66.94,0.00,1.70
371.5,58.77,0.00,1.70
372.5,55.38,0.00,1.70
373.5,55.39,0.00,1.70
374.5,61.55,0.00,1.70
375.5,81.76,0.00,1.70
376.5,81.36,0.00,1.70
377.5,78.19,0.00,1.70
378.5,81.78,0.00,1.70
379.5,67.81,0.00,1.70
380.5,57.08,0.00,1.70
381.5,56.43,0.00,1.70
382.5,54.10,0.00,1.70
383.5,54.34,0.00,1.70
384.5,56.73,0.00,1.70
385.5,47.06,0.00,1.70
386.5,43.22,0.00,1.70
387.5,40.58,0.00,1.70
388.5,41.67,0.00,1.70
389.5,38.29,0.00,1.70
390.5,39.62,0.00,1.70
391.5,38.14,0.00,1.70
392.5,36.75,0.00,1.70
393.5,39.33,0.00,1.70
394.5,40.78,0.00,1.70
395.5,40.47,0.00,1.70
396.5,39.81,0.00,1.70
397.5,42.25,0.00,1.70
398.5,40.72,0.00,1.70
399.5,40.37,0.00,1.70
400.5,40.03,0.00,1.70
401.5,39.41,0.00,1.70
402.5,40.53,0.00,1.70
403.5,38.74,0.00,1.70
404.5,40.44,0.00,1.70
405.5,43.04,0.00,1.70
406.5,28.32,0.00,1.70
407.5,27.02,0.00,1.70
408.5,18.72,0.00,1.70
409.5,42.08,0.00,1.70
410.5,37.43,0.00,1.70
411.5,40.46,0.00,1.70
412.5,38.36,0.00,1.70
413.5,38.77,0.00,1.70
414.5,40.55,0.00,1.70
415.5,40.07,0.00,1.70
416.5,36.57,0.00,1.70
417.5,34.98,0.00,1.70
418.5,40.64,0.00,1.70
419.5,39.04,0.00,1.70
420.5,35.59,0.00,1.70
421.5,33.59,0.00,1.70
422.5,38.46,0.00,1.76
423.5,38.20,0.00,1.70
424.5,38.94,0.00,1.70
425.5,41.78,0.00,1.70
426.5,41.80,0.00,1.70
427.5,39.45,0.00,1.70
428.5,38.43,0.00,1.70
429.5,36.43,0.00,1.70
430.5,35.17,0.00,1.70
431.5,36.91,0.00,1.70
432.5,37.66,0.00,1.70
433.5,40.05,0.00,1.70
434.5,40.25,0.00,1.70
435.5,41.30,0.00,1.70
436.5,39.02,0.00,1.70
437.5,37.94,0.00,1.70
438.5,41.71,0.00,1.70
439.5,40.36,0.00,1.70
440.5,39.64,0.00,1.70
441.5,39.22,0.00,1.70
442.5,39.23,0.00,1.70
443.5,39.29,0.00,1.70
444.5,42.02,0.00,1.70
445.5,43.12,0.00,1.70
446.5,40.88,0.00,1.70
447.5,40.26,0.00,1.70
448.5,39.60,0.00,1.70
449.5,39.83,0.00,1.70
450.5,39.66,0.00,1.70
451.5,42.26,0.00,1.70
452.5,40.12,0.00,1.70
453.5,39.54,0.00,1.70
454.5,37.01,0.00,1.70
455.5,38.78,0.00,1.70
456.5,40.17,0.00,1.70
457.5,39.54,0.00,1.70
458.5,42.44,0.00,1.70
459.5,52.02,0.00,1.70
460.5,53.22,0.00,1.70
461.5,54.01,0.00,1.70
462.5,53.60,0.00,1.70
463.5,42.08,0.00,1.70
464.5,40.32,0.00,1.70
465.5,39.67,0.00,1.70
466.5,40.83,0.00,1.70
467.5,41.57,0.00,1.70
468.5,40.73,0.00,1.70
469.5,42.02,0.00,1.70
470.5,39.92,0.00,1.70
471.5,40.37,0.00,1.70
472.5,41.36,0.00,1.70
473.5,40.40,0.00,1.70
474.5,35.68,0.17,1.74
475.5,29.84,0.03,1.70
476.5,55.03,0.00,1.70
477.5,54.74,0.00,1.70
478.5,42.13,0.00,1.70
479.5,39.52,0.00,1.70
480.5,41.59,0.11,1.70
481.5,39.75,0.00,1.71
482.5,39.59,0.00,1.70
483.5,38.21,0.00,1.70
484.5,40.74,0.00,1.70
485.5,40.86,0.00,1.70
486.5,39.82,0.42,1.70
487.5,40.47,0.00,1.70
488.5,40.77,0.00,1.70
489.5,40.41,0.00,1.70
490.5,40.17,0.31,1.70
491.5,41.56,0.33,1.70
492.5,40.62,0.50,1.70
493.5,42.03,0.55,1.70
494.5,40.71,0.59,1.70
495.5,40.47,0.64,1.70
496.5,40.43,0.66,1.70
497.5,40.25,0.12,1.70
498.5,45.82,0.00,1.70
499.5,50.38,0.00,1.70
500.5,49.25,0.00,1.70
501.5,49.99,0.00,1.70
502.5,49.00,0.44,1.70
503.5,45.20,0.40,1.70
504.5,45.55,0.43,1.70
505.5,46.98,0.43,1.70
506.5,49.29,0.46,1.70
507.5,49.10,0.00,1.63
508.5,48.58,0.00,1.70
509.5,50.89,0.00,1.70
510.5,48.80,0.00,1.70
511.5,50.78,0.03,1.70
512.5,45.78,0.00,1.70
513.5,47.25,0.00,1.70
514.5,69.02,0.00,1.70
515.5,66.97,0.00,1.70
516.5,65.50,0.00,1.70
517.5,65.14,0.00,1.70
518.5,65.53,0.00,1.70
519.5,87.03,0.00,1.70
520.5,81.09,0.00,1.70
521.5,85.10,0.00,1.70
522.5,81.20,0.00,1.70
523.5,83.27,0.00,1.70
524.5,82.95,0.00,1.70
525.5,83.29,0.00,1.70
526.5,82.32,0.00,1.70
527.5,60.50,0.00,1.70
528.5,55.67,0.00,1.70
529.5,55.11,0.00,1.70
530.5,54.64,0.00,1.70
531.5,53.03,0.00,1.70
532.5,52.63,0.00,1.74
533.5,51.26,0.00,1.70
534.5,53.33,0.00,1.70
535.5,53.31,0.00,1.32
536.5,54.45,0.00,1.44
537.5,57.76,0.00,1.69
538.5,69.23,0.00,1.70
539.5,71.07,0.00,1.70
540.5,72.67,0.00,1.70
541.5,70.43,0.00,1.70
542.5,71.39,0.00,1.70
543.5,70.96,0.00,1.70
544.5,71.71,0.00,1.70
545.5,70.88,0.00,1.70
546.5,70.71,0.00,1.70
547.5,58.75,0.00,1.70
548.5,57.67,0.00,1.70
549.5,56.10,0.00,1.71
550.5,55.92,0.00,1.70
551.5,58.48,0.00,1.70
552.5,53.50,0.00,1.59
553.5,58.81,0.00,1.70
554.5,56.51,0.00,1.70
555.5,56.97,0.00,1.70
556.5,58.61,0.00,1.70
557.5,56.41,0.00,1.70
558.5,54.12,0.00,1.70
559.5,55.81,0.00,1.70
560.5,57.32,0.00,1.70
561.5,55.76,0.00,1.70
562.5,55.80,0.00,1.70
563.5,56.46,0.00,1.70
564.5,59.38,0.00,1.76
565.5,57.93,0.00,1.70
566.5,56.77,0.00,1.70
567.5,55.96,0.00,1.70
568.5,56.03,0.00,1.70
569.5,55.78,0.00,1.70
570.5,56.76,0.00,1.70
571.5,56.08,0.00,1.70
572.5,59.11,0.00,1.70
573.5,57.42,0.00,1.70
574.5,55.80,0.00,1.70
575.5,56.39,0.00,1.70
576.5,57.68,0.00,1.70
577.5,57.87,0.00,1.70
578.5,50.09,0.00,1.70
579.5,46.01,0.00,1.70
580.5,45.68,0.00,1.70
581.5,40.77,0.00,1.70
582.5,43.76,0.00,1.70
583.5,42.57,0.00,1.70
584.5,40.84,0.00,1.70
585.5,42.03,0.00,1.70
586.5,41.21,0.00,1.70
587.5,39.24,0.00,1.70
588.5,41.71,0.00,1.70
589.5,41.71,0.00,1.70
590.5,40.15,0.00,1.70
591.5,40.13,0.00,1.70
592.5,38.77,0.00,1.70
593.5,43.23,0.00,1.70
594.5,40.62,0.00,1.70
595.5,38.90,0.00,1.70
596.5,41.39,0.00,1.70
597.5,41.38,0.00,1.70
598.5,43.18,0.00,1.70
599.5,42.04,0.00,1.70
600.5,38.89,0.00,1.69
601.5,43.68,0.00,1.69
602.5,41.09,0.00,1.70
603.5,40.91,0.00,1.70
604.5,41.02,0.00,1.70
605.5,41.09,0.00,1.70
606.5,40.65,0.00,1.70
607.5,40.76,0.00,1.70
608.5,41.44,0.00,1.70
609.5,42.48,0.00,1.70
610.5,40.59,0.00,1.70
611.5,39.92,0.00,1.70
612.5,40.26,0.00,1.70
613.5,40.77,0.00,1.70
614.5,41.05,0.00,1.70
615.5,41.05,0.00,1.70
616.5,41.61,0.00,1.70
617.5,41.27,0.00,1.70
618.5,40.94,0.00,1.70
619.5,41.79,0.00,1.70
620.5,41.10,0.00,1.70
621.5,41.34,0.00,1.70
622.5,41.25,0.00,1.70
623.5,39.16,0.00,1.70
624.5,39.25,0.00,1.70
625.5,40.59,0.00,1.70
626.5,40.73,0.00,1.70
627.5,42.44,0.00,1.70
628.5,34.78,0.00,1.70
629.5,38.69,0.00,1.70
630.5,40.52,0.00,1.70
631.5,42.45,0.00,1.70
632.5,43.14,0.00,1.70
633.5,36.87,0.00,1.73
634.5,40.31,0.00,1.70
635.5,39.77,0.00,1.70
636.5,41.07,0.00,1.70
637.5,41.54,0.00,1.70
638.5,41.29,0.00,1.70
639.5,41.36,0.00,1.70
640.5,40.86,0.00,1.70
641.5,42.53,0.00,1.70
642.5,41.48,0.00,1.70
643.5,42.30,0.00,1.70
644.5,41.30,0.00,1.70
645.5,35.45,0.00,1.70
646.5,34.18,0.00,1.70
647.5,34.12,0.00,1.70
648.5,33.55,0.00,1.70
649.5,32.16,0.00,1.70
650.5,35.22,0.00,1.70
651.5,34.29,0.00,1.70
652.5,32.80,0.00,1.70
653.5,35.79,0.00,1.70
654.5,34.58,0.00,1.70
655.5,34.77,0.00,1.70
656.5,34.62,0.00,1.70
657.5,34.88,0.00,1.70
658.5,35.36,0.00,1.70
659.5,34.73,0.00,1.70
660.5,34.87,0.00,1.70
661.5,34.47,0.00,1.70
662.5,34.35,0.00,1.70
663.5,29.39,0.00,1.70
664.5,34.25,0.00,1.70
665.5,34.27,0.00,1.70
666.5,36.20,0.00,1.70
667.5,34.14,0.00,1.70
668.5,33.84,0.00,1.70
669.5,32.55,0.00,1.70
670.5,31.25,0.00,1.70
671.5,24.58,3.26,1.70
672.5,27.95,0.00,1.70
673.5,27.25,0.00,1.70
674.5,26.28,0.00,1.70
675.5,26.23,0.00,1.70
676.5,27.02,0.00,1.70
677.5,27.29,0.00,1.70
678.5,27.94,0.00,1.70
679.5,27.91,0.00,1.70
680.5,26.27,0.00,1.70
681.5,26.37,0.00,1.70
682.5,18.89,0.00,1.70
683.5,23.99,0.00,1.70
684.5,25.72,0.00,1.70
685.5,26.27,0.00,1.70
686.5,26.67,0.00,1.70
687.5,26.49,0.00,1.70
688.5,27.11,0.00,1.70
689.5,26.35,0.00,1.70
690.5,26.56,0.00,1.70
691.5,26.37,0.00,1.70
692.5,26.27,0.00,1.70
693.5,26.42,0.00,1.70
694.5,26.08,0.00,1.70
695.5,24.66,0.00,1.70
696.5,25.30,0.00,1.70
697.5,28.03,0.00,1.70
698.5,28.22,0.00,1.70
699.5,25.20,0.00,1.70
700.5,25.34,0.00,1.70
701.5,26.27,0.00,1.70
702.5,26.72,0.00,1.70
703.5,30.52,0.00,1.70
704.5,32.36,0.00,1.70
705.5,40.37,0.00,1.70
706.5,40.02,0.00,1.70
707.5,40.10,0.00,1.70
708.5,41.16,0.00,1.70
709.5,35.64,0.00,1.70
710.5,40.30,0.00,1.70
711.5,41.70,0.00,1.70
712.5,41.74,0.00,1.70
713.5,38.50,0.00,1.70
714.5,36.16,0.00,1.70
715.5,40.02,0.00,1.70
716.5,40.44,0.00,1.70
717.5,39.71,0.00,1.70
718.5,40.03,0.00,1.70
719.5,39.50,0.00,1.70
720.5,35.31,0.00,1.70
721.5,38.94,0.00,1.70
722.5,37.48,0.00,1.70
723.5,35.47,0.00,1.70
724.5,38.04,0.00,1.70
725.5,40.03,0.00,1.70
726.5,40.13,0.00,1.70
727.5,39.46,0.00,1.70
728.5,37.18,0.00,1.70
729.5,33.28,0.00,1.70
730.5,34.46,0.00,1.70
731.5,34.52,0.00,1.70
732.5,36.76,0.00,1.70
733.5,27.78,0.00,1.70
734.5,32.73,0.00,1.70
735.5,35.93,0.00,1.70
736.5,39.09,0.00,1.70
737.5,38.31,0.00,1.70
738.5,37.77,0.00,1.70
739.5,39.99,0.00,1.70
740.5,40.54,0.00,1.70
741.5,40.11,0.00,1.70
742.5,40.17,0.00,1.70
743.5,39.49,0.00,1.70
744.5,39.54,0.00,1.70
745.5,20.38,18.92,1.70
746.5,17.77,21.79,1.70
747.5,15.09,25.33,1.70
748.5,27.99,12.68,1.70
749.5,39.41,0.00,1.70
750.5,40.36,0.00,1.70
751.5,40.49,0.00,1.70
752.5,42.24,0.00,1.70
753.5,39.28,0.00,1.70
754.5,41.08,0.00,1.70
755.5,41.76,0.00,1.70
756.5,40.41,0.00,1.70
757.5,36.38,2.42,1.70
758.5,39.34,0.00,1.70
759.5,39.19,0.00,1.70
760.5,39.50,0.00,1.70
761.5,42.20,0.00,1.70
762.5,41.37,0.00,1.70
763.5,40.81,0.00,1.70
764.5,40.99,0.00,1.70
765.5,42.10,0.00,1.70
766.5,41.32,0.00,1.70
767.5,41.48,0.00,1.70
768.5,41.93,0.00,1.70
769.5,40.95,0.00,1.70
770.5,39.15,0.00,1.70
771.5,39.07,0.00,1.70
772.5,41.13,0.00,1.70
773.5,41.00,0.00,1.70
774.5,41.49,0.00,1.70
775.5,41.78,0.00,1.70
776.5,41.49,0.00,1.70
777.5,42.41,0.00,1.70
778.5,40.24,0.00,1.70
779.5,43.48,0.00,1.70
780.5,43.40,0.00,1.70
781.5,42.32,0.00,1.70
782.5,41.29,0.00,1.70
783.5,39.85,0.00,1.70
784.5,38.80,0.00,1.70
785.5,40.76,0.00,1.70
786.5,41.17,0.00,1.70
787.5,42.79,0.00,1.70
788.5,40.39,0.00,1.70
789.5,42.64,0.00,1.70
790.5,40.44,0.00,1.70
791.5,41.75,0.00,1.70
792.5,41.49,0.00,1.70
793.5,54.84,0.00,1.70
794.5,57.08,0.00,1.70
795.5,55.36,0.00,1.70
796.5,49.43,0.00,1.70
797.5,48.61,0.00,1.70
798.5,103.06,0.00,1.70
799.5,107.64,0.00,1.70
800.5,106.56,0.00,1.70
801.5,107.87,0.00,1.70
802.5,107.72,0.00,1.70
803.5,110.47,0.00,1.70
804.5,100.70,0.00,1.70
805.5,97.44,0.00,1.70
806.5,86.43,0.00,1.70
807.5,80.74,0.00,1.70
808.5,81.34,0.00,1.70
809.5,85.59,0.00,1.70
810.5,85.08,0.00,1.70
811.5,83.83,0.00,1.70
812.5,82.02,0.00,1.70
813.5,80.99,0.00,1.70
814.5,82.67,0.00,1.70
815.5,81.48,0.00,1.70
816.5,70.63,0.00,1.70
817.5,64.96,0.00,1.70
818.5,66.23,0.00,1.70
819.5,64.99,0.00,1.63
820.5,78.35,0.00,1.70
821.5,81.59,0.00,1.70
822.5,83.18,0.00,1.70
823.5,80.22,0.00,1.70
824.5,85.25,0.25,1.70
825.5,89.90,0.00,1.70
826.5,92.52,0.00,1.70
827.5,91.80,0.00,1.70
828.5,96.71,0.00,1.70
829.5,94.46,0.00,1.70
830.5,109.58,0.00,1.70
831.5,111.44,0.00,1.70
832.5,111.48,0.00,1.70
833.5,110.04,0.00,1.70
834.5,110.51,0.00,1.70
835.5,110.23,0.00,1.70
836.5,110.91,0.00,1.70
837.5,107.88,0.00,1.70
838.5,109.04,0.00,1.70
839.5,111.03,0.00,1.70
840.5,110.25,0.00,1.70
841.5,109.12,0.00,1.70
842.5,110.19,0.00,1.70
843.5,110.19,0.00,1.70
844.5,100.39,0.00,1.70
845.5,96.24,0.00,1.70
846.5,97.14,0.00,1.70
847.5,98.88,0.00,1.70
848.5,96.76,0.00,1.70
849.5,97.71,0.00,1.70
850.5,98.51,0.00,1.70
851.5,98.60,0.00,1.70
852.5,86.89,0.00,1.70
853.5,83.61,0.00,1.70
854.5,83.91,0.00,1.70
855.5,77.06,0.00,1.70
856.5,75.60,0.00,1.70
857.5,76.37,0.00,1.70
858.5,74.07,0.00,1.70
859.5,76.89,0.00,1.70
860.5,77.15,0.00,1.70
861.5,74.94,0.00,1.70
862.5,76.49,0.00,1.70
863.5,74.47,0.00,1.70
864.5,74.58,0.00,1.70
865.5,75.54,0.00,1.70
866.5,73.28,0.00,1.70
867.5,74.74,0.00,1.70
